com.samsung.shealth.social.public_challenge.leaderboard,6221053,1
update_time,create_time,body,pcid,type,deviceuuid,pkg_name,last_sync_time,datauuid
2022-01-24 12:02:20.387,2022-01-17 15:57:28.995,25081b39-5e47-4599-a3a9-ab9606f36333.body.json,22010001,0,e7FCb+MfnB,com.sec.android.app.shealth,1643025740353,25081b39-5e47-4599-a3a9-ab9606f36333,
2022-01-31 11:39:21.827,2022-01-17 15:57:34.476,a8dcbc73-da05-4917-b401-0a18c9ea0aa4.body.json,22010001,1,e7FCb+MfnB,com.sec.android.app.shealth,1643629161800,a8dcbc73-da05-4917-b401-0a18c9ea0aa4,
