com.samsung.shealth.social.public_challenge.history,6221053,1
update_time,create_time,body,challenge_time,deviceuuid,pkg_name,last_sync_time,datauuid
2022-02-13 12:06:47.932,2022-01-16 18:30:25.373,3510e16c-58f2-4098-894c-3a3c22bf2cfb.body.json,PcUserProfileDataMY85399822_22,e7FCb+MfnB,com.sec.android.app.shealth,1644754007929,3510e16c-58f2-4098-894c-3a3c22bf2cfb,
2022-02-17 17:55:32.264,2022-01-15 10:11:40.962,339574e0-92a7-40b2-89dc-4c30d96e3380.body.json,SIMPLE_LEVEL,e7FCb+MfnB,com.sec.android.app.shealth,1645120532262,339574e0-92a7-40b2-89dc-4c30d96e3380,
