com.samsung.shealth.tracker.pedometer_day_summary,6221053,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
18310,1647ff9b-bd46-4c0f-85f7-5927d36b29ee.binning_data.json,9274605,10000,156,2022-01-21 20:48:54.913,com.sec.android.app.shealth,2022-01-20 21:50:56.671,1647ff9b-bd46-4c0f-85f7-5927d36b29ee.source_info.json,1.5710685,14571.04,742.39,18154,VfS0qUERdZ,com.sec.android.app.shealth,0,1647ff9b-bd46-4c0f-85f7-5927d36b29ee.achievement.json,1647ff9b-bd46-4c0f-85f7-5927d36b29ee,1642723200000,
15352,0998f21e-8c04-409f-965e-6ad97402f2b2.binning_data.json,7165506,10000,2050,2022-01-27 21:00:00.840,com.sec.android.app.shealth,2022-01-27 21:00:00.840,,1.8567842,13304.8,717.01996,13302,e7FCb+MfnB,com.sec.android.app.shealth,0,0998f21e-8c04-409f-965e-6ad97402f2b2.achievement.json,0998f21e-8c04-409f-965e-6ad97402f2b2,1643241600000,
10153,cb448c7c-d6d9-4983-988e-94f64b1be609.binning_data.json,4370551,10000,2198,2022-01-25 21:00:00.947,com.sec.android.app.shealth,2022-01-25 21:00:00.947,,2.0902145,9135.391,501.77,7955,e7FCb+MfnB,com.sec.android.app.shealth,0,cb448c7c-d6d9-4983-988e-94f64b1be609.achievement.json,cb448c7c-d6d9-4983-988e-94f64b1be609,1643068800000,
20186,560d0da5-f3dc-40c9-90d4-b21355eca1ae.binning_data.json,10447748,10000,161,2022-01-22 20:55:02.302,com.sec.android.app.shealth,2022-01-21 21:09:53.952,560d0da5-f3dc-40c9-90d4-b21355eca1ae.source_info.json,1.5255544,15938.61,814.82,20025,VfS0qUERdZ,com.sec.android.app.shealth,0,560d0da5-f3dc-40c9-90d4-b21355eca1ae.achievement.json,560d0da5-f3dc-40c9-90d4-b21355eca1ae,1642809600000,
13035,8f0d44a5-468a-4587-82be-a8bcfd09efb1.binning_data.json,6593279,10000,42,2022-01-23 20:08:34.929,com.sec.android.app.shealth,2022-01-22 21:00:29.062,8f0d44a5-468a-4587-82be-a8bcfd09efb1.source_info.json,1.5717353,10362.89,524.64996,12993,VfS0qUERdZ,com.sec.android.app.shealth,0,8f0d44a5-468a-4587-82be-a8bcfd09efb1.achievement.json,8f0d44a5-468a-4587-82be-a8bcfd09efb1,1642896000000,
14504,533fc306-db93-4371-85f4-f9e418547418.binning_data.json,7398451,10000,106,2022-01-20 20:55:01.604,com.sec.android.app.shealth,2022-01-19 21:13:27.010,533fc306-db93-4371-85f4-f9e418547418.source_info.json,1.5545117,11500.9795,585.39996,14398,VfS0qUERdZ,com.sec.android.app.shealth,0,533fc306-db93-4371-85f4-f9e418547418.achievement.json,533fc306-db93-4371-85f4-f9e418547418,1642636800000,
10683,4fd31389-8d28-4078-bc34-235fc555e740.binning_data.json,5614432,10000,72,2022-01-30 21:00:00.987,com.sec.android.app.shealth,2022-01-30 21:00:00.987,,1.501035,8427.46,432.84998,10611,e7FCb+MfnB,com.sec.android.app.shealth,0,4fd31389-8d28-4078-bc34-235fc555e740.achievement.json,4fd31389-8d28-4078-bc34-235fc555e740,1643500800000,
17244,b73ee960-d6a6-4410-862f-2a0568cd9bc4.binning_data.json,7801721,10000,1473,2022-01-24 19:21:40.251,com.sec.android.app.shealth,2022-01-23 21:10:12.189,b73ee960-d6a6-4410-862f-2a0568cd9bc4.source_info.json,1.8872658,14723.921,763.95996,15771,VfS0qUERdZ,com.sec.android.app.shealth,0,b73ee960-d6a6-4410-862f-2a0568cd9bc4.achievement.json,b73ee960-d6a6-4410-862f-2a0568cd9bc4,1642982400000,
18644,e299145c-83fb-4e11-9eed-0a523d6f1864.binning_data.json,8489214,10000,2363,2022-01-28 21:00:01.139,com.sec.android.app.shealth,2022-01-28 21:00:01.139,,1.8968456,16102.73,860.02997,16281,e7FCb+MfnB,com.sec.android.app.shealth,0,e299145c-83fb-4e11-9eed-0a523d6f1864.achievement.json,e299145c-83fb-4e11-9eed-0a523d6f1864,1643328000000,
4338,94860858-734c-4f54-a16d-71721efa9ed7.binning_data.json,1944309,10000,617,2022-01-26 21:00:01.015,com.sec.android.app.shealth,2022-01-26 21:00:01.015,,1.9458371,3783.31,202.26999,3721,e7FCb+MfnB,com.sec.android.app.shealth,0,94860858-734c-4f54-a16d-71721efa9ed7.achievement.json,94860858-734c-4f54-a16d-71721efa9ed7,1643155200000,
