com.samsung.shealth.best_records,6221053,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
a929b249-f353-45a6-ba63-774796da55c7,-1,2022-08-08 22:20:41.404,2022-01-28 16:04:09.196,,1643387551059,2,618.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,e91987fe-b61b-40ba-b006-b6c2ce063834,
cbb4f74a-a592-4b28-bfa5-32338280b1bf,-1,2022-08-08 22:20:41.421,2022-01-24 11:58:05.649,,1643025505974,2,212.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,18ab7fd2-744c-49ef-b942-3ce129772b7b,
d079607e-58b7-4088-aef6-ccd94a05081c,-1,2022-08-08 22:20:41.427,2022-02-07 15:18:27.773,,1644248601180,3,28436.05,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,c408c68b-1634-4797-933b-d3ac392c55e7,
ec714bf8-fea5-4258-88c8-291bd08b9539,-1,2022-08-08 22:20:41.441,2022-05-06 14:18:54.735,,1651847115379,1,9589946.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,f0ede48d-7e66-4425-822f-805fb5759b68,
2b44880d-2c4c-4e62-8693-ff9fde7e8696,-1,2022-08-11 16:45:19.005,2022-08-11 16:45:19.005,,1660241738948,4,20.119999,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,578d8a50-b5d9-45ff-a09c-9b37791fd961,
e291ff94-2144-4260-a83f-a01dd38ade29,-1,2022-08-08 22:20:41.433,2022-05-04 14:13:21.848,,1651666255991,2,936.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,5db79bae-621f-49db-b072-b574689cc5f9,
a929b249-f353-45a6-ba63-774796da55c7,-1,2022-08-08 22:20:41.404,2022-01-28 16:04:09.187,,1643387551059,1,5741097.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,e581da9d-b575-4cb9-8d52-f16fb4f9fc10,
37f115a7-6a8b-467f-802c-9f899129a65d,-1,2022-08-08 22:20:41.356,2022-06-26 17:05:49.927,,1656270153573,4,16.119999,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,1ae6c584-89af-47dd-9a32-fec6d6117829,
9cdff02a-b1d1-4ae2-9a43-011cb81d49e9,-1,2022-08-08 22:20:41.370,2022-07-20 16:35:44.064,,1658342430606,4,18.17,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,c45baaff-e46b-492a-8270-e99acb340d87,
d079607e-58b7-4088-aef6-ccd94a05081c,-1,2022-08-08 22:20:41.427,2022-02-07 15:18:27.754,,1644248601180,2,630.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,50a61fda-6a76-4851-bc25-37ce556c5adc,
e291ff94-2144-4260-a83f-a01dd38ade29,-1,2022-08-08 22:20:41.433,2022-05-04 14:13:21.816,,1651666255991,1,9516134.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,cd4a73b1-945c-41bb-a673-fefdaea4dbe8,
ec714bf8-fea5-4258-88c8-291bd08b9539,-1,2022-08-08 22:20:41.441,2022-05-06 14:18:54.778,,1651847115379,3,49335.53,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,75d0af52-dba6-4e67-bb45-454c9c169b81,
