com.samsung.shealth.activity.day_summary,6221053,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-01-15 10:11:21.687,2022-01-15 10:11:21.687,-1,0,0,0.0,0.0,238e091a-b23e-4098-86e4-41bc1bc45cbb.extra_data.json,e7FCb+MfnB,0,com.sec.android.app.shealth,0,-1,238e091a-b23e-4098-86e4-41bc1bc45cbb,1641859200000,
14504,8611628,90,0,2022-01-20 20:55:01.779,2022-01-19 21:00:00.534,-1,1955000,158,11542.754,587.4431,8f0d8d5c-90b7-4e0b-b9f0-1181f67b313b.extra_data.json,e7FCb+MfnB,21829,com.sec.android.app.shealth,8589799,24480000,8f0d8d5c-90b7-4e0b-b9f0-1181f67b313b,1642636800000,
18310,10618079,90,0,2022-01-21 20:53:12.308,2022-01-20 21:00:00.518,-1,2369000,195,14642.085,746.154,dcf8d6ad-6c54-45f8-b942-cf3ca6a41605.extra_data.json,e7FCb+MfnB,44429,com.sec.android.app.shealth,10573650,29820000,dcf8d6ad-6c54-45f8-b942-cf3ca6a41605,1642723200000,
12229,7201789,90,0,2022-01-18 20:48:02.043,2022-01-17 21:00:00.493,-1,712000,132,9664.988,495.02988,8d829198-147f-468f-9e03-9752291a83e1.extra_data.json,e7FCb+MfnB,39947,com.sec.android.app.shealth,7161842,26040000,8d829198-147f-468f-9e03-9752291a83e1,1642464000000,
4338,2720331,90,1561726,2022-01-26 20:29:46.193,2022-01-25 21:00:00.445,-1,386000,48,8638.548,234.5776,f253bcd9-0f81-429b-8116-9bfb35aac889.extra_data.json,e7FCb+MfnB,22696,com.sec.android.app.shealth,1135909,34080000,f253bcd9-0f81-429b-8116-9bfb35aac889,1643155200000,
10153,5811068,90,4762687,2022-01-25 20:37:44.818,2022-01-24 21:00:00.290,-1,1902000,106,24722.344,585.7304,91a65cb6-0194-4f9c-b8d7-d1bc7348f500.extra_data.json,e7FCb+MfnB,13138,com.sec.android.app.shealth,1035243,34440000,91a65cb6-0194-4f9c-b8d7-d1bc7348f500,1643068800000,
15352,6150152,90,5352978,2022-01-27 21:00:00.589,2022-01-26 21:00:00.454,-1,659000,113,25681.5,600.1177,62ce9a9a-921f-450b-951e-bb1d3bb23750.extra_data.json,e7FCb+MfnB,17066,com.sec.android.app.shealth,780108,31980000,62ce9a9a-921f-450b-951e-bb1d3bb23750,1643241600000,
17244,8201630,90,3690115,2022-01-24 19:21:40.346,2022-01-23 21:00:01.014,-1,3060000,151,22915.793,701.15643,c9acf19b-fe0f-47cf-abab-e71e35b61d6f.extra_data.json,e7FCb+MfnB,37175,com.sec.android.app.shealth,4474340,34920000,c9acf19b-fe0f-47cf-abab-e71e35b61d6f,1642982400000,
10391,5822132,90,1372772,2022-02-01 19:58:20.049,2022-01-31 21:06:22.632,-1,1604000,106,13428.861,474.32053,d7829ee0-73c4-43fc-beb9-b7141ea9d9e9.extra_data.json,e7FCb+MfnB,11744,com.sec.android.app.shealth,4437616,30360000,d7829ee0-73c4-43fc-beb9-b7141ea9d9e9,1643673600000,
8494,3442460,90,2539873,2022-01-31 21:06:22.835,2022-01-30 21:00:00.387,-1,666000,62,14009.048,344.16635,4089a632-c19a-4c71-b302-5a1ddf283279.extra_data.json,e7FCb+MfnB,19297,com.sec.android.app.shealth,883290,26040000,4089a632-c19a-4c71-b302-5a1ddf283279,1643587200000,
1194,780645,90,0,2022-02-02 17:28:37.760,2022-02-01 21:00:01.831,-1,44689,13,991.5899,50.859993,72668941-a3e1-4c40-a175-0a607ba61002.extra_data.json,e7FCb+MfnB,23600,com.sec.android.app.shealth,757045,42540000,72668941-a3e1-4c40-a175-0a607ba61002,1643760000000,
