com.samsung.shealth.calories_burned.details,6221053,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,bae7e31e-860d-4255-b2d6-d88fb2fc6947.extra_data.json,0.0,0,1661.4569,2022-01-15 10:11:21.799,2022-01-15 10:11:21.799,0.0,e7FCb+MfnB,com.sec.android.app.shealth,bae7e31e-860d-4255-b2d6-d88fb2fc6947,1639958400000,
,,573be546-cea4-4f74-98a0-3c8c319d7c6e.extra_data.json,0.0,0,1661.4569,2022-01-15 10:11:22.018,2022-01-15 10:11:22.018,0.0,e7FCb+MfnB,com.sec.android.app.shealth,573be546-cea4-4f74-98a0-3c8c319d7c6e,1641427200000,
,,4d7f26a6-731f-47be-a695-ff4083c5f654.extra_data.json,0.0,0,1661.4569,2022-01-15 10:11:21.888,2022-01-15 10:11:21.888,0.0,e7FCb+MfnB,com.sec.android.app.shealth,4d7f26a6-731f-47be-a695-ff4083c5f654,1640476800000,
,,e80c3802-3116-493c-971f-0522fc025b6f.extra_data.json,0.0,0,1698.8489,2022-02-08 15:29:02.304,2022-01-15 10:11:22.092,0.0,e7FCb+MfnB,com.sec.android.app.shealth,e80c3802-3116-493c-971f-0522fc025b6f,1641945600000,
,,87d7969a-8c82-4851-96ff-56a96ee3449d.extra_data.json,0.0,8368232,1534.3076,2022-03-31 21:22:10.318,2022-03-30 21:00:00.478,591.97064,e7FCb+MfnB,com.sec.android.app.shealth,87d7969a-8c82-4851-96ff-56a96ee3449d,1648684800000,
,,afcdfb07-0815-450f-965c-40db9dc2057e.extra_data.json,0.0,0,1661.4569,2022-01-15 10:11:21.966,2022-01-15 10:11:21.966,0.0,e7FCb+MfnB,com.sec.android.app.shealth,afcdfb07-0815-450f-965c-40db9dc2057e,1640995200000,
,,e32f9a35-03d7-4a2d-98dd-452d1c8b50b6.extra_data.json,0.0,7597100,1549.47,2022-04-06 21:00:00.784,2022-04-05 21:00:00.576,535.53546,e7FCb+MfnB,com.sec.android.app.shealth,e32f9a35-03d7-4a2d-98dd-452d1c8b50b6,1649203200000,
,,487e0ad6-e8bb-4345-a233-20a4a769b4e9.extra_data.json,0.0,8513779,1531.4458,2022-01-19 21:00:00.652,2022-01-18 21:00:00.591,638.0875,e7FCb+MfnB,com.sec.android.app.shealth,487e0ad6-e8bb-4345-a233-20a4a769b4e9,1642550400000,
,,4bae56bb-b7c2-4c68-bc1a-be4faf98319a.extra_data.json,0.0,9433203,1513.3676,2022-04-12 21:00:00.913,2022-04-11 21:00:00.634,649.57306,e7FCb+MfnB,com.sec.android.app.shealth,4bae56bb-b7c2-4c68-bc1a-be4faf98319a,1649721600000,
,,0f36a246-1ac6-439f-bab6-167b73c62460.extra_data.json,0.0,0,1661.4569,2022-01-15 10:11:22.029,2022-01-15 10:11:22.029,0.0,e7FCb+MfnB,com.sec.android.app.shealth,0f36a246-1ac6-439f-bab6-167b73c62460,1641513600000,
,,7de0d1a8-e8dc-4a61-966c-4af45c35175e.extra_data.json,0.0,5811068,1584.588,2022-01-25 21:00:00.642,2022-01-24 21:00:00.331,585.73035,e7FCb+MfnB,com.sec.android.app.shealth,7de0d1a8-e8dc-4a61-966c-4af45c35175e,1643068800000,
,,3323b92a-7e67-4187-878e-f049851d60dd.extra_data.json,0.0,6008982,1580.6965,2022-04-18 21:00:01.628,2022-04-17 21:00:02.255,443.67883,e7FCb+MfnB,com.sec.android.app.shealth,3323b92a-7e67-4187-878e-f049851d60dd,1650240000000,
,,a8b06bac-0504-4a96-bc6d-120eeec231ef.extra_data.json,0.0,0,1698.8489,2022-02-08 15:29:02.341,2022-01-15 10:11:22.102,0.0,e7FCb+MfnB,com.sec.android.app.shealth,a8b06bac-0504-4a96-bc6d-120eeec231ef,1642032000000,
,,58ca7221-9195-4bd1-bbc7-a5c341b4d4e6.extra_data.json,0.0,14147930,1420.6638,2022-04-24 21:00:00.812,2022-04-23 21:00:00.587,1274.5547,e7FCb+MfnB,com.sec.android.app.shealth,58ca7221-9195-4bd1-bbc7-a5c341b4d4e6,1650758400000,
,,d1199918-845b-4a55-9068-2be9458c11d9.extra_data.json,0.0,3442460,1631.161,2022-01-31 21:06:22.995,2022-01-30 21:00:00.415,344.16632,e7FCb+MfnB,com.sec.android.app.shealth,d1199918-845b-4a55-9068-2be9458c11d9,1643587200000,
,,b2a5fb36-3ffc-4d52-b365-aa121a98dfda.extra_data.json,0.0,8611628,1529.5217,2022-01-20 21:00:00.624,2022-01-19 21:00:00.548,587.44324,e7FCb+MfnB,com.sec.android.app.shealth,b2a5fb36-3ffc-4d52-b365-aa121a98dfda,1642636800000,
,,3d0c7443-fd30-4dd4-b175-43227fbc1503.extra_data.json,0.0,7640856,1548.6097,2022-04-30 21:00:00.926,2022-04-29 21:00:01.927,684.67377,e7FCb+MfnB,com.sec.android.app.shealth,3d0c7443-fd30-4dd4-b175-43227fbc1503,1651276800000,
,,04f3fd05-3049-4669-92e0-a6beec8de99d.extra_data.json,0.0,9901206,1504.1653,2022-02-06 21:00:00.665,2022-02-05 21:00:00.600,836.4291,e7FCb+MfnB,com.sec.android.app.shealth,04f3fd05-3049-4669-92e0-a6beec8de99d,1644105600000,
,,9e871c65-7c3b-49c6-aa4b-9cededdf1fe6.extra_data.json,0.0,2720331,1645.3601,2022-01-26 21:00:00.639,2022-01-25 21:00:00.471,234.57759,e7FCb+MfnB,com.sec.android.app.shealth,9e871c65-7c3b-49c6-aa4b-9cededdf1fe6,1643155200000,
