com.samsung.shealth.exercise.weather,6221053,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2022-06-16 11:06:30.610,36.885677,,SSE. 150,Fair,0,1,TWC,2022-06-16 11:06:30.615,2022-06-16 11:06:30.615,1,30.702122,29.0,53,UTC+0300,e7FCb+MfnB,a7d2a942-5aec-4b32-af09-81d0e4282f96,com.sec.android.app.shealth,km/h,0,5.0,1,a8f4aa08-2f61-47d2-82a5-d377b32a3b48,
,0,2022-06-18 17:30:03.599,36.888145,,ESE. 110,Fair,0,1,TWC,2022-06-18 17:30:03.602,2022-06-18 17:30:03.602,1,30.674826,28.0,53,UTC+0300,e7FCb+MfnB,6646fe4a-04d0-4cdc-8094-2deeee70705e,com.sec.android.app.shealth,km/h,0,3.0,18,b27093dd-6f43-4207-a354-c02900f2c590,
,0,2022-06-21 14:50:52.262,36.876297,,ESE. 120,Fair,0,1,TWC,2022-06-21 14:50:52.265,2022-06-21 14:50:52.265,1,30.661686,28.0,45,UTC+0300,e7FCb+MfnB,02725453-754e-4be4-80ef-73be0f8a526d,com.sec.android.app.shealth,km/h,0,11.0,1,f1c14197-8acb-473e-8f4c-ec13c5a55fc5,
,0,2022-06-26 17:39:29.519,41.07817,,NNE. 20,Partly Cloudy,0,1,TWC,2022-06-26 17:39:29.521,2022-06-26 17:39:29.521,1,29.013697,22.0,63,UTC+0300,e7FCb+MfnB,7d8a1995-59bc-4418-9342-8e18a6fe49f7,com.sec.android.app.shealth,km/h,0,0.0,2,300b0fe9-da6a-4ce8-bef6-6d70e1077d46,
,0,2022-06-29 17:15:48.159,41.076073,,NNE. 30,Fair,0,1,TWC,2022-06-29 17:15:48.161,2022-06-29 17:15:48.161,1,29.013945,22.0,77,UTC+0300,e7FCb+MfnB,6da2b9e0-06b7-4a23-a3c4-e3beddac8e98,com.sec.android.app.shealth,km/h,0,21.0,1,32694419-d6db-470a-b5e7-3601dbd7a579,
,0,2022-07-04 18:23:48.974,41.10505,,NE. 50,Fair,0,1,TWC,2022-07-04 18:23:48.976,2022-07-04 18:23:48.976,1,29.056751,22.0,73,UTC+0300,e7FCb+MfnB,1fbb2466-0685-4aa8-a3b0-c2cf03bcf955,com.sec.android.app.shealth,km/h,0,3.0,18,4f6c2170-eeaa-4c6f-bfa5-c43de9d41799,
,0,2022-07-08 11:28:32.472,41.08825,,NW. 320,Partly Cloudy,0,1,TWC,2022-07-08 11:28:32.475,2022-07-08 11:28:32.475,1,29.04385,25.0,73,UTC+0300,e7FCb+MfnB,b81ac84f-0535-47a8-8398-e6a13f356af2,com.sec.android.app.shealth,km/h,0,5.0,2,fd3c9c5c-f041-4a5f-b336-8439ad83d379,
,0,2022-07-13 15:26:56.870,41.08819,,NNW. 340,Fair,0,1,TWC,2022-07-13 15:26:56.872,2022-07-13 15:26:56.872,1,29.043804,24.0,65,UTC+0300,e7FCb+MfnB,ea1a8ae9-f031-422b-b537-7de1d8cb47dd,com.sec.android.app.shealth,km/h,0,5.0,1,539c07fe-7063-4d5f-969e-df5c521214dc,
,0,2022-07-14 14:43:00.623,40.99396,,NE. 50,Fair,0,1,TWC,2022-07-14 14:43:00.626,2022-07-14 14:43:00.626,1,29.026123,27.0,40,UTC+0300,e7FCb+MfnB,3aa4e117-4656-4268-ab98-503fc29c2776,com.sec.android.app.shealth,km/h,0,31.0,1,8d119302-57de-4dea-9f90-144f85c3fe37,
,0,2022-07-17 13:18:14.981,41.088173,,NW. 310,Fair,0,1,TWC,2022-07-17 13:18:14.983,2022-07-17 13:18:14.983,1,29.043827,27.0,58,UTC+0300,e7FCb+MfnB,5559109f-faf2-4ff6-a1fc-06b7f951e571,com.sec.android.app.shealth,km/h,0,3.0,1,ee010b96-0349-4a61-ba03-2f2ccb70e8fa,
,0,2022-07-23 12:54:20.540,41.088226,,ENE. 70,Fair,0,1,TWC,2022-07-23 12:54:20.543,2022-07-23 12:54:20.543,1,29.04383,30.0,34,UTC+0300,e7FCb+MfnB,09a1eb0a-e5ff-4fcc-a8e9-30b9da829732,com.sec.android.app.shealth,km/h,0,3.0,1,b8173d36-a506-486b-ae19-acef3784be0b,
,0,2022-08-03 17:23:16.202,41.08819,,N. 0,Fair,0,1,TWC,2022-08-03 17:23:16.206,2022-08-03 17:23:16.206,1,29.043835,24.0,76,UTC+0300,e7FCb+MfnB,35bd6793-206d-4398-9fd6-8255cbf17e62,com.sec.android.app.shealth,km/h,0,8.0,18,4e41cc58-497a-414f-9ba4-61d171a2b3f6,
,0,2022-08-08 16:21:39.143,41.086945,,N. 0,Fair,0,1,TWC,2022-08-08 16:21:39.147,2022-08-08 16:21:39.147,1,29.04389,26.0,77,UTC+0300,e7FCb+MfnB,46b1c9fc-6f4b-4090-aeba-6cccdc2df74a,com.sec.android.app.shealth,km/h,0,3.0,1,b0eae0bb-3fab-45e4-aaee-f11eeeb76417,
,0,2022-08-13 16:24:21.929,41.087883,,E. 80,Partly Cloudy,0,1,TWC,2022-08-13 16:24:21.932,2022-08-13 16:24:21.932,1,29.043743,25.0,74,UTC+0300,e7FCb+MfnB,d182eae0-f9e1-4a11-b208-1c09a12e2081,com.sec.android.app.shealth,km/h,0,5.0,2,ad6f17cf-ddba-4bc3-b6b4-754669ba3d1e,
,0,2022-01-24 14:45:09.878,36.883556,,SE. 140,Fair,0,1,TWC,2022-01-24 14:45:09.880,2022-01-24 14:45:09.880,1,30.662914,9.0,22,UTC+0300,e7FCb+MfnB,1fbb2d1e-3e05-4677-bdf9-64e30c708ffd,com.sec.android.app.shealth,km/h,0,3.0,1,ddd858fd-a58b-451e-b235-064cf1a55ad0,
,0,2022-01-28 13:32:32.979,36.92294,,N. 0,Fair,0,1,TWC,2022-01-28 13:32:32.980,2022-01-28 13:32:32.980,1,30.683613,12.0,18,UTC+0300,e7FCb+MfnB,a929b249-f353-45a6-ba63-774796da55c7,com.sec.android.app.shealth,km/h,0,2.0,1,ef5049b4-d0d9-4e74-a45e-427ff37c19d8,
,0,2022-01-25 12:45:36.717,36.92287,,N. 350,Partly Cloudy,0,1,TWC,2022-01-25 12:45:36.718,2022-01-25 12:45:36.718,1,30.683592,7.0,57,UTC+0300,e7FCb+MfnB,2c7e86d7-56e4-4dc4-8409-b18ede14658b,com.sec.android.app.shealth,km/h,0,2.0,2,e5ea735f-a9e8-4290-a0f5-a2090795e7b3,
,0,2022-01-26 12:36:46.632,36.923058,,NNW. 340,Partly Cloudy,0,1,TWC,2022-01-26 12:36:46.633,2022-01-26 12:36:46.633,1,30.68355,8.0,32,UTC+0300,e7FCb+MfnB,50601304-7ebb-4435-8c84-1da48e555ab2,com.sec.android.app.shealth,km/h,0,10.0,2,da9b7f7c-f3cc-439c-b2b0-5efb41badb9a,
,0,2022-01-31 11:06:36.812,36.92301,,N. 350,Light Rain Shower,0,1,TWC,2022-01-31 11:06:36.815,2022-01-31 11:06:36.815,1,30.683502,8.0,82,UTC+0300,e7FCb+MfnB,edcd2761-341c-4db3-9a15-74448efc2f6e,com.sec.android.app.shealth,km/h,0,3.0,5,1fd3bc58-5d15-4ba4-b7cc-e4a13b1d6e67,
