com.samsung.shealth.social.leaderboard,6221053,1
update_time,create_time,my_value,body,type,deviceuuid,pkg_name,last_sync_time,datauuid
2022-02-17 17:55:32.286,2022-01-15 10:11:41.010,1,d112e3d4-a0d1-4ae2-afec-59a3ea8a89cf.body.json,200,e7FCb+MfnB,com.sec.android.app.shealth,1645120532258,d112e3d4-a0d1-4ae2-afec-59a3ea8a89cf,
2022-02-17 17:55:32.219,2022-01-15 10:11:40.779,1,e60c3d42-dcfb-446f-965e-4ee76f1c48af.body.json,101,e7FCb+MfnB,com.sec.android.app.shealth,1645120532180,e60c3d42-dcfb-446f-965e-4ee76f1c48af,
2022-02-17 17:55:32.192,2022-01-15 10:11:40.734,1,5acb4edb-74ea-4045-a449-487dc6079d7a.body.json,102,e7FCb+MfnB,com.sec.android.app.shealth,1645120532179,5acb4edb-74ea-4045-a449-487dc6079d7a,
